http://dbpedia.org/ontology/Weapon,http://dbpedia.org/ontology/length
Pistolet maszynowy Ingram M11,0.248
MAC-11,0.248
MAC-11衝鋒槍,0.248
MT-LB,6.45
مدرعة إم تي-إل بي,6.45
MT-LB,6.45
MT-LB,6.45
MT-LB,6.45
MT-LB,6.45
MT-LB,6.45
MT-LB,6.45
MT-LB,6.45
МТ-ЛБ,6.45
MT-LB,6.45
طربيد مارك 48,5.7912
Mark 48 torpedo,5.7912
Mark-48-Torpedo,5.7912
Torpedo Mark 48,5.7912
Mk 48,5.7912
Torpille Mark 48,5.7912
Mk48 (魚雷),5.7912
Mark 48 torpedo,5.7912
Torpeda Mark 48,5.7912
Mark 48 (торпеда),5.7912
Mk 48型魚雷,5.7912
Mark 50 torpedo,2.8956
Mark-50-Torpedo,2.8956
Mk 50 Barracuda,2.8956
Mk50 (魚雷),2.8956
Torpeda Mark 50,2.8956
Mark 50 (торпеда),2.8956
بي تي-76,7.63
PT-76,7.63
PT-76,7.63
PT-76,7.63
PT-76,7.63
PT-76,7.63
PT-76,7.63
PT-76,7.63
ПТ-76,7.63
PT-76,7.63
PT-76兩棲坦克,7.63
R-16 (missile),30.4
R-16 (Rakete),30.4
R-16 (misil),30.4
R-16,30.4
R-16 (missile),30.4
R-16 (ミサイル),30.4
R-16,30.4
Р-16,30.4
R-16,30.4
R-16洲际弹道导弹,30.4
Saint-Chamond (tank),8.9
Saint-Chamond (Panzer),8.9
Saint-Chamond (carro de asalto),8.9
Saint-Chamond (char),8.9
St. Chamond,8.9
St Chamond,8.9
サン・シャモン突撃戦車,8.9
St. Chamond M16,8.9
St. Chamond (tanque),8.9
Сен-Шамон (танк),8.9
Sturmtiger,6.28
Sturmpanzer VI,6.28
Sturmtiger,6.28
Sturmtiger,6.28
Sturmtiger,6.28
シュトルムティーガー,6.28
Sturmtiger,6.28
Sturmtiger,6.28
Штурмтигр,6.28
突擊虎式,6.28
Walther P99,0.18
فالتر بي 99,0.18
Walther P99,0.18
Walther P99,0.18
Walther P99,0.18
Walther P99,0.18
ワルサーP99,0.18
Walther P99,0.18
Pistolet Walther P99,0.18
Walther P99,0.18
瓦爾特P99手槍,0.18
أكس أم8,0.8382
XM8 rifle,0.8382
HK XM8,0.8382
XM8,0.8382
XM8,0.8382
Heckler & Koch XM8,0.8382
H&K XM8,0.8382
Karabin XM8,0.8382
Heckler & Koch XM8,0.8382
HK XM8,0.8382
Fuzil XM8,0.8382
XM8突擊步槍,0.8382
Mk 2 16インチ砲,20.7264
"16""/50 caliber Mark 2 gun",20.7264
French corvette Sylphe (1804),29.8704
أم-46,11.73
130-mm-Kanone M-46,11.73
M-46,11.73
130 mm M-46,11.73
Obusier 130 mm M1954,11.73
130 mm towed field gun M1954 (M-46),11.73
M-46 130mmカノン砲,11.73
130 mm armata polowa wz. 1954 (M-46),11.73
130-мм пушка М-46,11.73
إيه جي إم-84 إتش,4.37
AGM-84H/K SLAM-ER,4.37
دي-74,9.875
D-74 122mmカノン砲,9.875
122 mm armata polowa D–74,9.875
122-мм пушка Д-74,9.875
D-74 122 mm field gun,9.875
مدرعة الدواسر,8.0
Dawsar,8.0
أنيرجا,0.425
ENERGA ライフルグレネード,0.425
ENERGA anti-tank rifle grenade,0.425
هواسونغ-6,12.0
Hwasong-6,12.0
Huasong-6,12.0
Hwasong-6,12.0
火星6型彈道飛彈,12.0
بي إم - إم دي. 65/63,0.87
Pistol Mitralieră model 1965,0.87
AIM (アサルトライフル),0.87
Karabin AIM,0.87
Клоны автомата Калашникова румынского производства,0.87
Pistol Mitralieră model 1963/1965,0.87
PM md. 63突擊步槍,0.87
قنبلة صغيرة القطر,1.79832
Small Diameter Bomb,1.79832
GBU-39,1.79832
GBU-39 Small Diameter Bomb,1.79832
GBU-39,1.79832
GBU-39 SDB,1.79832
GBU-39 SDB,1.79832
GBU-39,1.79832
GBU-39小直徑炸彈,1.79832
Small Diameter Bomb,1.79832
تايب 88 (دبابة),6.325
Tipo 88 (China),6.325
Type 88,6.325
Type 80/88 main battle tank,6.325
Type 80/88 (carro armato),6.325
88式戦車,6.325
Тип 88,6.325
88式坦克,6.325
PLZ-05,11.6
PLZ-05自行加榴炮,11.6
PLZ-05,11.6
HMS Britannia (1682),50.9016
HMS Britannia (1682),50.9016
HMS Britannia (1682),53.0352
HMS Britannia (1682),53.0352
HMS Prince (1670),39.9288
プリンス (戦列艦・初代),39.9288
HMS Prince (1670),39.9288
HMS Prince (1670),39.9288
HMS Prince (1670),50.9016
プリンス (戦列艦・初代),50.9016
HMS Prince (1670),50.9016
